time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	4.94066e-324	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.715863	0.595445	7.26417	5.81752e-18	5.7581e-17	radar	73.9085	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.09274	0.521452	7.32396	-0.373383	-0.0347907	lidar	1.05582	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24728	0.543145	6.97605	-0.263336	-0.122173	radar	3.1208	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61322	0.500364	6.91018	-0.208678	-0.0602128	lidar	1.0795	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85553	0.540682	5.97172	-0.123039	-0.358305	radar	5.11599	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16318	0.53459	5.9255	-0.101711	-0.219728	lidar	0.796168	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37705	0.610764	5.42178	0.0142337	0.167394	radar	5.45719	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64772	0.627989	5.40901	0.0395266	0.231787	lidar	0.0893735	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.90964	0.641989	5.35784	0.0533721	0.23563	radar	0.0520565	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14168	0.654381	5.31106	0.0699938	0.25533	lidar	0.951281	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42779	0.5629	5.3449	-0.0526191	-0.144737	radar	2.02485	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73428	0.467883	5.42979	-0.154362	-0.400949	lidar	3.06005	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01026	0.542051	5.46696	-0.0509667	-0.0923333	radar	2.71656	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.28571	0.543887	5.46566	-0.0405469	-0.0582681	lidar	0.10812	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54055	0.588725	5.31302	0.0039585	0.0409609	radar	1.14671	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72035	0.704464	5.13397	0.105606	0.239202	lidar	10.1152	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97165	0.704573	5.01087	0.0958939	0.199916	radar	1.39471	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27237	0.696823	5.10089	0.0778332	0.150011	lidar	3.45074	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53307	0.70544	5.25083	0.0769957	0.136457	radar	1.8138	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83248	0.716078	5.31718	0.0742966	0.120921	lidar	1.92618	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.0734	0.65074	5.10701	0.0268224	0.0405391	radar	4.25357	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32535	0.752968	5.10934	0.0869026	0.123825	lidar	2.54448	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57483	0.786781	5.06541	0.0996549	0.132865	radar	0.13973	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82073	0.781769	5.05173	0.0891182	0.110083	lidar	0.372807	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06176	0.770567	4.872	0.076199	0.0862084	radar	2.09297	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27419	0.844873	4.82611	0.111411	0.124937	lidar	1.85166	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57412	0.861364	5.17117	0.108713	0.113771	radar	5.4495	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.82923	0.837676	5.15939	0.0880714	0.0824805	lidar	0.927762	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.0766	0.858462	4.98079	0.0913351	0.0812808	radar	2.17139	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31241	0.870154	4.95778	0.0904484	0.0756464	lidar	0.273222	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
