time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443050000	0.862916	0.534212	4.89281	0.554329	0	radar	6.93081e-310	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443150000	1.18991	0.455968	4.74788	0.546938	-0.0626274	radar	2.12479	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443250000	1.60799	0.530147	5.03343	0.31018	-1.18297	radar	3.72015	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443350000	2.06583	0.601106	5.11426	0.129242	-1.39037	radar	0.485317	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443450000	2.65374	0.611077	5.34961	-0.068542	-1.5356	radar	1.58066	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443550000	3.26009	0.489065	5.59585	-0.284417	-1.65976	radar	1.92565	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443650000	3.84115	0.482423	5.75045	-0.295035	-1.38177	radar	7.06388	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443750000	4.38962	0.455691	5.60308	-0.319798	-1.20554	radar	5.00446	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443850000	4.92106	0.410908	5.38979	-0.353412	-1.08331	radar	4.95848	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443950000	5.41796	0.378715	5.62128	-0.35711	-0.942626	radar	7.57894	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444050000	5.91761	0.238457	5.48254	-0.415773	-0.899391	radar	0.988841	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444150000	6.44025	0.271972	5.39	-0.3835	-0.750428	radar	12.5733	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444250000	6.95804	0.229072	5.17549	-0.388143	-0.668509	radar	6.33217	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444350000	7.54962	0.22931	5.56674	-0.357803	-0.550484	radar	15.0684	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444450000	8.08446	0.262387	5.21608	-0.323796	-0.45165	radar	10.3334	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444550000	8.62242	0.444427	5.45068	-0.2264	-0.287964	radar	22.3327	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444650000	9.229	0.521645	5.40779	-0.176353	-0.202202	radar	11.4041	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444750000	9.80416	0.698808	5.36135	-0.0944378	-0.091953	radar	11.2503	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444850000	10.3327	0.922692	5.00542	-0.00495054	0.0119282	radar	10.1797	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444950000	10.8151	1.11979	4.7241	0.0680915	0.0865957	radar	5.05551	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445050000	11.3277	1.21353	4.99619	0.0967801	0.105621	radar	1.58955	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445150000	11.7817	1.33414	4.90505	0.13355	0.13304	radar	1.61526	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445250000	12.2715	1.58159	5.14473	0.209513	0.194005	radar	3.90199	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445350000	12.762	1.71355	5.26324	0.235499	0.200279	radar	0.78959	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445450000	13.2696	2.03932	5.44079	0.322621	0.262741	radar	3.44069	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445550000	13.6142	2.48225	4.95866	0.45468	0.368928	radar	15.0805	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445650000	14.037	2.71707	5.00333	0.494933	0.371721	radar	0.552349	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445750000	14.5131	2.93503	5.30848	0.513547	0.350287	radar	1.23056	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445850000	14.9307	3.39238	5.49166	0.608714	0.401864	radar	2.63913	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445950000	15.3358	3.82461	5.35214	0.690711	0.442787	radar	1.23092	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446050000	15.7682	3.99092	5.25828	0.678649	0.394216	radar	2.13935	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446150000	16.172	4.29317	5.06958	0.711428	0.391862	radar	0.681755	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446250000	16.5885	4.59242	5.19869	0.731428	0.372603	radar	0.610176	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446350000	16.9144	4.97813	4.82482	0.793577	0.402679	radar	2.13483	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446450000	17.2883	5.1706	4.7765	0.785317	0.36107	radar	1.37181	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446550000	17.6494	5.33984	4.61464	0.77347	0.32247	radar	1.76537	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446650000	17.9411	5.75162	4.57395	0.833406	0.346983	radar	0.588249	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446750000	18.2124	6.24986	4.79675	0.90752	0.375783	radar	1.41936	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446850000	18.4673	6.71991	4.83327	0.972221	0.398435	radar	0.382801	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.7529	7.13959	5.01301	1.0043	0.385815	radar	0.531382	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.9372	7.55786	4.76437	1.06344	0.410579	radar	3.01145	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.2022	7.90587	4.81343	1.07569	0.383696	radar	0.437499	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.3924	8.3192	4.87919	1.11199	0.377719	radar	2.07678	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.6118	8.67152	4.67181	1.13497	0.371934	radar	0.608802	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.743	9.18518	4.65193	1.20353	0.399856	radar	0.515908	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8371	9.66844	4.55749	1.27118	0.427421	radar	0.771271	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8243	10.4335	5.10656	1.38465	0.466909	radar	5.54494	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.8548	10.9404	5.00966	1.4526	0.492391	radar	0.930768	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.8212	11.6216	5.36051	1.53053	0.499506	radar	2.22723	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.6664	12.2515	5.26743	1.65215	0.578156	radar	4.32069	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8142	12.5241	5.14544	1.60574	0.465696	radar	5.08912	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.8174	12.904	4.74429	1.65112	0.48616	radar	1.98547	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9968	13.1001	4.35508	1.63147	0.439113	radar	4.99903	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.9456	13.5482	4.43695	1.67529	0.434433	radar	0.18983	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.9674	13.8656	4.17333	1.70218	0.432123	radar	1.02195	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.8578	14.3124	4.20865	1.75789	0.442627	radar	0.216207	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.8682	14.5737	4.02476	1.76975	0.414765	radar	1.07884	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.7259	14.9757	3.58605	1.86759	0.506087	radar	10.5347	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.6753	15.2523	3.50819	1.89865	0.489345	radar	0.358969	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.4857	15.6783	3.73744	1.95362	0.482097	radar	0.887297	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.3017	16.0691	3.75879	2.0216	0.508579	radar	0.927151	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.8942	16.682	4.07466	2.16966	0.624214	radar	11.3491	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.8413	16.897	3.79773	2.14402	0.512974	radar	4.11056	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449350000	18.583	17.2709	3.94215	2.18791	0.491867	radar	0.785266	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449450000	18.2953	17.5758	3.90591	2.27397	0.545502	radar	1.69789	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449550000	18.1455	17.8588	3.81413	2.30299	0.528089	radar	6.20057	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449650000	17.8391	18.1363	3.85461	2.3785	0.560713	radar	0.674798	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449750000	17.3775	18.6409	4.28205	2.43346	0.550194	radar	5.73037	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449850000	16.7907	19.1783	4.83129	2.50502	0.565998	radar	5.10993	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449950000	16.4689	19.2497	4.59297	2.59423	0.610581	radar	8.6085	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450050000	16.1954	19.4068	4.24218	2.62821	0.563291	radar	2.00145	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450150000	15.4867	19.9557	4.83935	2.66004	0.52184	radar	9.45302	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450250000	15.0173	20.1508	4.8688	2.72098	0.528688	radar	1.28835	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450350000	14.3847	20.4813	5.21708	2.77047	0.527561	radar	1.53773	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450450000	13.8612	20.6856	5.30977	2.82657	0.537406	radar	0.313145	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450550000	13.4566	20.7216	5.23836	2.91076	0.587135	radar	1.82156	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450650000	12.9907	20.8558	5.16357	2.96002	0.578503	radar	2.02256	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450750000	12.2407	21.1006	5.54202	2.99677	0.557725	radar	2.29933	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450850000	11.832	21.1145	5.35935	3.06085	0.570369	radar	1.44268	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450950000	11.3772	21.0666	5.23835	3.13207	0.58275	radar	1.20587	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451050000	10.8201	21.0139	5.26754	3.1983	0.586265	radar	3.4562	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451150000	10.0902	21.1038	5.3121	3.21592	0.530304	radar	3.3974	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451250000	9.63564	21.0628	5.2066	3.26817	0.530405	radar	1.63737	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451350000	9.18557	21.0156	4.89542	3.30434	0.499209	radar	1.89952	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451450000	8.90483	20.8782	4.69495	3.37778	0.525736	radar	2.93494	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451550000	8.80287	20.6015	4.31769	3.48733	0.578019	radar	4.42323	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451650000	8.35059	20.456	4.47857	3.53998	0.57648	radar	0.166631	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451750000	7.99049	20.2871	4.58037	3.60352	0.589333	radar	2.89655	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451850000	7.48259	20.1099	4.58257	3.64047	0.566398	radar	0.782844	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451950000	7.03932	19.9293	4.52551	3.67809	0.547527	radar	0.625122	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452050000	6.64188	19.7474	4.51361	3.71803	0.53645	radar	2.5376	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452150000	6.03356	19.5272	4.89109	3.73067	0.506418	radar	2.85093	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452250000	5.72137	19.2103	4.77714	3.80316	0.522049	radar	0.594539	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452350000	5.47055	18.9539	4.41032	3.86306	0.523277	radar	3.60986	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452450000	4.8326	18.7401	4.81728	3.83805	0.465426	radar	3.55343	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452550000	4.51087	18.4446	4.60635	3.88172	0.456512	radar	0.632456	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452650000	3.94973	18.194	5.19862	3.87723	0.43176	radar	7.38347	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452750000	3.72345	17.8626	4.76962	3.93526	0.431077	radar	2.97201	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452850000	3.17363	17.5637	5.20075	3.92599	0.398528	radar	2.91329	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
1477010452950000	2.95733	17.1433	5.2298	4.01466	0.442651	radar	0.97895	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302
1477010453050000	2.61847	16.7981	4.81348	4.03851	0.416539	radar	2.50208	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014
1477010453150000	2.12383	16.4214	4.8612	4.02798	0.370689	radar	4.03746	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995
1477010453250000	1.7895	16.0751	4.80793	4.04977	0.35724	radar	0.529062	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261
1477010453350000	1.54291	15.6425	5.1006	4.11363	0.388818	radar	1.63633	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832
1477010453450000	1.12749	15.2702	5.08758	4.10789	0.351613	radar	1.55231	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773
1477010453550000	0.88366	14.9027	4.83991	4.14036	0.344568	radar	1.88165	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977
1477010453650000	0.660408	14.4407	5.10559	4.19693	0.368554	radar	1.60039	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598
1477010453750000	0.273024	13.967	5.51763	4.20337	0.350504	radar	1.82961	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617
1477010453850000	0.028464	13.4898	5.56856	4.24521	0.359146	radar	0.335538	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061
1477010453950000	-0.243151	13.0368	5.28514	4.26066	0.334647	radar	1.36153	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955
1477010454050000	-0.547058	12.5626	5.14859	4.26491	0.303641	radar	1.37812	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326
1477010454150000	-0.829938	12.1402	5.13604	4.27115	0.28371	radar	2.02363	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198
1477010454250000	-1.12016	11.6689	5.21346	4.27705	0.264569	radar	0.271804	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598
1477010454350000	-1.19814	11.2066	4.86915	4.33636	0.284482	radar	2.653	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549
1477010454450000	-1.34391	10.7413	5.11709	4.38015	0.304359	radar	1.3622	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075
1477010454550000	-1.54402	10.2195	5.27987	4.40231	0.298444	radar	0.700914	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198
1477010454650000	-1.66036	9.76724	5.00739	4.43668	0.298073	radar	1.1762	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939
1477010454750000	-1.95266	9.26204	5.24561	4.41472	0.253366	radar	2.04683	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316
1477010454850000	-2.0477	8.82644	4.95619	4.4491	0.256867	radar	1.94429	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347
1477010454950000	-2.35736	8.29928	5.16726	4.41133	0.197586	radar	2.4361	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047
1477010455050000	-2.38081	7.91103	4.88859	4.47068	0.235408	radar	5.62111	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843
1477010455150000	-2.71353	7.41047	4.86363	4.40863	0.147481	radar	5.02589	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507
1477010455250000	-2.79383	6.97512	4.90256	4.45285	0.182968	radar	1.18905	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286
